学号,院系,专业,班级,性别,年级,B1,B2,G1,G2,G3,G,班级排名,院系排名
176302246,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,2.5449,0.05,4.0,2.5949,2.3,2.81694,35,46
176302205,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,2.9694,0.025,4.0,2.9944,1.0,2.79664,36,32
176302213,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,2.9327,0.0525,4.0,2.9852,1.0,2.79112,37,33
176302204,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,2.8755,0.065,4.0,2.9405,1.0,2.7643,38,34
176302229,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,2.8551,0.05,4.0,2.9051,1.0,2.74306,39,36
176302207,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,2.8082,0.05,4.0,2.8582,1.0,2.71492,40,37
176302201,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,2.7551,0.05,4.0,2.8051,1.0,2.68306,41,38
176302242,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,2.6959,0.05,4.0,2.7459,1.0,2.64754,42,39
176302228,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,2.7388,0.0,4.0,2.7388,1.0,2.64328,43,40
176302227,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,2.6755,0.05,4.0,2.7255,1.0,2.6353,44,41
176302226,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,2.598,0.05,4.0,2.648,1.0,2.5888,45,43
176302247,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,2.5918,0.05,4.0,2.6418,1.0,2.58508,46,44
176302203,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,2.5714,0.05,4.0,2.6214,1.0,2.57284,47,45
176302206,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,2.4918,0.0375,4.0,2.5293,1.0,2.51758,48,47
176306126,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,3.9318,0.05,4.0,3.9818,4.0,3.98908,1,1
176306111,计算机工程学院,计算机网络技术,17计算机网络技术1,女,2017,3.6591,0.05,4.0,3.7091,4.0,3.82546,2,2
176306113,计算机工程学院,计算机网络技术,17计算机网络技术1,女,2017,3.2318,0.05,4.0,3.2818,4.0,3.56908,3,6
176306108,计算机工程学院,计算机网络技术,17计算机网络技术1,女,2017,3.4205,0.05,4.0,3.4705,2.7,3.4223,4,3
176306112,计算机工程学院,计算机网络技术,17计算机网络技术1,女,2017,2.8932,0.0525,4.0,2.9457,4.0,3.36742,5,15
176306109,计算机工程学院,计算机网络技术,17计算机网络技术1,女,2017,2.8604,0.06,4.0,2.9204,4.0,3.35224,6,17
176306141,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.8727,0.05,4.0,2.9227,3.7,3.29362,7,16
176306103,计算机工程学院,计算机网络技术,17计算机网络技术1,女,2017,2.9125,0.05,4.0,2.9625,3.3,3.2375,8,14
176306104,计算机工程学院,计算机网络技术,17计算机网络技术1,女,2017,3.3045,0.05,4.0,3.3545,2.0,3.2127,9,5
176306145,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.8563,0.05,4.0,2.9063,3.3,3.20378,10,19
176306128,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.9227,0.05,4.0,2.9727,3.0,3.18362,11,12
176306122,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,3.1318,0.0575,4.0,3.1893,2.3,3.17358,12,7
176306123,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,3.0455,0.06,4.0,3.1055,2.3,3.1233,13,9
176306134,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.4854,0.05,4.0,2.5354,4.0,3.12124,14,30
176306148,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,3.3909,0.05,4.0,3.4409,1.0,3.06454,15,4
176306129,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.9068,0.0575,4.0,2.9643,2.3,3.03858,16,13
176306142,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.8568,0.05,4.0,2.9068,2.3,3.00408,17,18
176306127,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.4813,0.06,4.0,2.5413,3.3,2.98478,18,29
176306106,计算机工程学院,计算机网络技术,17计算机网络技术1,女,2017,3.0477,0.05,4.0,3.0977,1.5,2.95862,19,10
176306124,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.8318,0.0575,4.0,2.8893,2.0,2.93358,20,20
176306146,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,3.1182,0.05,4.0,3.1682,1.0,2.90092,21,8
176306135,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.5479,0.05,4.0,2.5979,2.7,2.89874,22,25
176306117,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.4667,0.0575,4.0,2.5242,2.7,2.85452,23,31
176306101,计算机工程学院,计算机网络技术,17计算机网络技术1,女,2017,2.5977,0.05,4.0,2.6477,2.3,2.84862,24,24
176306110,计算机工程学院,计算机网络技术,17计算机网络技术1,女,2017,2.525,0.05,4.0,2.575,2.3,2.805,25,27
176306114,计算机工程学院,计算机网络技术,17计算机网络技术1,女,2017,2.9313,0.05,4.0,2.9813,1.0,2.78878,26,11
176306125,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.825,0.0375,4.0,2.8625,1.0,2.7175,27,21
176306149,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.7591,0.05,4.0,2.8091,1.0,2.68546,28,22
176306102,计算机工程学院,计算机网络技术,17计算机网络技术1,女,2017,2.5396,0.0575,4.0,2.5971,1.5,2.65826,29,26
176306147,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.6932,0.05,4.0,2.7432,1.0,2.64592,30,23
176306144,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.4917,0.05,4.0,2.5417,1.5,2.62502,31,28
176306130,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,1.903,0.025,4.0,1.928,3.0,2.5568,32,39
176306118,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.2083,0.05,4.0,2.2583,1.5,2.45498,33,33
176306120,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.1854,0.05,4.0,2.2354,1.5,2.44124,34,35
176306131,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.3235,0.0375,4.0,2.361,1.0,2.4166,35,32
176306119,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.1188,0.05,4.0,2.1688,1.5,2.40128,36,37
176306116,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.1919,0.0475,4.0,2.2394,1.0,2.34364,37,34
176306140,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,1.8271,0.05,4.0,1.8771,2.0,2.32626,38,41
176306132,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,2.1341,0.05,4.0,2.1841,1.0,2.31046,39,36
176306115,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,1.8606,0.0525,4.0,1.9131,1.5,2.24786,40,40
176306137,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,1.9818,0.05,4.0,2.0318,1.0,2.21908,41,38
176306139,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,1.7409,0.05,4.0,1.7909,1.0,2.07454,42,43
176306136,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,1.8136,0.05,3.0,1.8636,1.0,1.91816,43,42
176306138,计算机工程学院,计算机网络技术,17计算机网络技术1,男,2017,1.3167,0.055,4.0,1.3717,1.0,1.82302,44,44
176306203,计算机工程学院,计算机网络技术,17计算机网络技术2,女,2017,3.7364,0.05,4.0,3.7864,4.0,3.87184,1,1
176306201,计算机工程学院,计算机网络技术,17计算机网络技术2,女,2017,3.7205,0.05,4.0,3.7705,4.0,3.8623,2,2
176306246,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,3.5227,0.05,4.0,3.5727,4.0,3.74362,3,7
176306204,计算机工程学院,计算机网络技术,17计算机网络技术2,女,2017,3.7182,0.05,4.0,3.7682,3.3,3.72092,4,3
176306209,计算机工程学院,计算机网络技术,17计算机网络技术2,女,2017,3.6091,0.05,4.0,3.6591,3.3,3.65546,5,4
176306245,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,3.5841,0.05,4.0,3.6341,3.3,3.64046,6,5
176306202,计算机工程学院,计算机网络技术,17计算机网络技术2,女,2017,3.5795,0.05,4.0,3.6295,3.3,3.6377,7,6
176306224,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.9909,0.05,4.0,3.0409,4.0,3.42454,8,18
176306241,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,3.4727,0.05,4.0,3.5227,2.3,3.37362,9,8
176306234,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,3.0091,0.0425,4.0,3.0516,3.7,3.37096,10,16
176306206,计算机工程学院,计算机网络技术,17计算机网络技术2,女,2017,2.9708,0.05,4.0,3.0208,3.7,3.35248,11,19
176306205,计算机工程学院,计算机网络技术,17计算机网络技术2,女,2017,3.2386,0.06,4.0,3.2986,2.7,3.31916,12,11
176306208,计算机工程学院,计算机网络技术,17计算机网络技术2,女,2017,3.2045,0.05,4.0,3.2545,2.7,3.2927,13,13
176306239,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,3.425,0.05,4.0,3.475,2.0,3.285,14,9
176306244,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,3.3091,0.05,4.0,3.3591,2.3,3.27546,15,10
176306207,计算机工程学院,计算机网络技术,17计算机网络技术2,女,2017,3.0,0.05,4.0,3.05,3.0,3.23,16,17
176306247,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,3.1042,0.05,4.0,3.1542,2.3,3.15252,17,14
176306228,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.5068,0.05,4.0,2.5568,3.7,3.07408,18,31
176306238,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,3.2318,0.05,4.0,3.2818,1.5,3.06908,19,12
176306226,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.9273,0.05,4.0,2.9773,2.3,3.04638,20,21
176306249,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.8917,0.05,4.0,2.9417,2.3,3.02502,21,23
176306223,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.325,0.05,4.0,2.375,4.0,3.025,22,35
176306230,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.5591,0.05,4.0,2.6091,3.0,2.96546,23,29
176306248,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.7479,0.05,4.0,2.7979,2.3,2.93874,24,25
176306240,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.4295,0.06,4.0,2.4895,3.0,2.8937,25,33
176306218,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.3159,0.0575,4.0,2.3734,3.3,2.88404,26,36
176306212,计算机工程学院,计算机网络技术,17计算机网络技术2,女,2017,3.0273,0.05,4.0,3.0773,1.0,2.84638,27,15
176306237,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.6727,0.03,4.0,2.7027,2.0,2.82162,28,27
176306222,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.6396,0.0525,4.0,2.6921,2.0,2.81526,29,28
156306230,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.5354,0.0525,4.0,2.5879,2.3,2.81274,30,30
176306213,计算机工程学院,计算机网络技术,17计算机网络技术2,女,2017,2.9545,0.05,4.0,3.0045,1.0,2.8027,31,20
176306211,计算机工程学院,计算机网络技术,17计算机网络技术2,女,2017,2.9,0.05,4.0,2.95,1.0,2.77,32,22
176306243,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.2159,0.05,4.0,2.2659,3.0,2.75954,33,37
176306220,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.4523,0.0375,4.0,2.4898,2.3,2.75388,34,32
176306210,计算机工程学院,计算机网络技术,17计算机网络技术2,女,2017,2.8682,0.05,4.0,2.9182,1.0,2.75092,35,24
176306233,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.1021,0.042,4.0,2.1441,3.3,2.74646,36,39
176306219,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.4023,0.05,4.0,2.4523,2.3,2.73138,37,34
176306227,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.1104,0.05,4.0,2.1604,2.7,2.63624,38,38
176306217,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.0591,0.05,4.0,2.1091,2.7,2.60546,39,40
176306236,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,1.8563,0.0425,4.0,1.8988,2.3,2.39928,40,43
176306221,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,1.9477,0.03333,4.0,1.98103,2.0,2.388618,41,41
176306231,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,1.8626,0.05333,4.0,1.91593,2.0,2.349558,42,42
176306242,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,1.7432,0.0375,4.0,1.7807,2.3,2.32842,43,45
176306232,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,2.6932,0.05,1.0,2.7432,2.3,2.30592,44,26
176306225,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,1.7563,0.05,4.0,1.8063,1.0,2.08378,45,44
176306235,计算机工程学院,计算机网络技术,17计算机网络技术2,男,2017,0.28,,4.0,0.28,2.3,1.428,46,46
176304138,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,3.5563,0.05,4.0,3.6063,4.0,3.76378,1,3
176304104,计算机工程学院,计算机应用技术,17计算机应用技术1,女,2017,3.2208,0.05,4.0,3.2708,4.0,3.56248,2,5
176304114,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,3.278,0.05,4.0,3.328,3.7,3.5368,3,4
156301230,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,3.712,0.05,4.0,3.762,2.3,3.5172,4,1
176304154,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,3.5708,0.0575,4.0,3.6283,2.3,3.43698,5,2
176304149,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,3.1625,0.05,4.0,3.2125,3.3,3.3875,6,6
176304101,计算机工程学院,计算机应用技术,17计算机应用技术1,女,2017,2.5792,0.05,4.0,2.6292,4.0,3.17752,7,20
176304141,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,3.0688,0.05,4.0,3.1188,2.0,3.07128,8,8
176304103,计算机工程学院,计算机应用技术,17计算机应用技术1,女,2017,2.3979,0.05,4.0,2.4479,4.0,3.06874,9,28
176304110,计算机工程学院,计算机应用技术,17计算机应用技术1,女,2017,2.3625,0.05,4.0,2.4125,4.0,3.0475,10,30
176304144,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,3.0396,0.0375,4.0,3.0771,2.0,3.04626,11,9
176304111,计算机工程学院,计算机应用技术,17计算机应用技术1,女,2017,2.4458,0.0475,4.0,2.4933,3.7,3.03598,12,27
176304106,计算机工程学院,计算机应用技术,17计算机应用技术1,女,2017,2.9917,0.0575,4.0,3.0492,2.0,3.02952,13,10
176304131,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,3.1542,0.0525,4.0,3.2067,1.5,3.02402,14,7
176304109,计算机工程学院,计算机应用技术,17计算机应用技术1,女,2017,2.8417,0.052,4.0,2.8937,2.3,2.99622,15,13
176304150,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,2.5833,0.0375,4.0,2.6208,3.0,2.97248,16,21
176304102,计算机工程学院,计算机应用技术,17计算机应用技术1,女,2017,2.4688,0.05,4.0,2.5188,3.3,2.97128,17,24
176304145,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,2.5917,0.02667,4.0,2.61837,3.0,2.971022,18,22
176304151,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,2.4521,0.0525,4.0,2.5046,3.3,2.96276,19,26
176304143,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,2.7729,0.05,4.0,2.8229,2.0,2.89374,20,16
176304153,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,2.6417,0.0525,4.0,2.6942,2.0,2.81652,21,19
176304125,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,2.7792,0.05,4.0,2.8292,1.5,2.79752,22,14
176304115,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,2.9083,0.05,4.0,2.9583,1.0,2.77498,23,11
176304135,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,2.8938,0.0525,4.0,2.9463,1.0,2.76778,24,12
176304112,计算机工程学院,计算机应用技术,17计算机应用技术1,女,2017,2.0771,0.0525,4.0,2.1296,3.3,2.73776,25,35
176304155,计算机工程学院,计算机应用技术,17计算机应用技术1,男,2017,2.4563,0.0525,4.0,2.5088,2.0,2.70528,26,25
