city,local,total_price,unit_price,layout,area,floor,time,title
苏州,昆山,192,23559,3室2厅,81.5,18,2021-03-24,象屿嘉园3房2厅，满2年，省税，品质小区
苏州,高新,223,25057,3室2厅,89,11,2021-03-07,新上，金辉浅湾89平225万，洋房，中上楼层，诚心出售
北京,朝阳,1010,92848,2室1厅,108.78,16,2021-03-22,慧谷阳光 南北通透 经典两居 随时签约
苏州,高新,328.1,37511,3室2厅,87.47,30,2021-03-27,边户通透 户型正气 全新毛坯房 看房方便 诚意出售
苏州,昆山,98,10899,2室1厅,89.92,6,2021-03-02,东恒翠园2室1厅，满五唯一，中间楼层，房东急售
苏州,相城,265,21970,3室2厅,120.62,6,2021-02-26,香城花园二区南北通透户型业主婚装房.有汽车库
苏州,昆山,249.5,24271,4室2厅,102.8,6,2021-04-02,后塘新村 4室2厅 南 北
苏州,昆山,152,12767,3室2厅,119.06,11,2021-03-28,烫金楼层！东边户！采光佳！好房源！随时看房！
苏州,吴江,354,26555,4室2厅,133.31,34,2019-06-13,首开钻石好楼层，格局采光充足，视野开阔！
苏州,姑苏,343,36362,2室1厅,94.33,18,2021-03-28,精装大两房 边户 中间楼层 不邻高架
苏州,昆山,190,18983,2室2厅,100.09,6,2020-11-27,刚需楼盘 成熟社区 地铁沿线 房东自住保养很好
苏州,昆山,158,17504,3室2厅,90.27,26,2021-03-17,万科云岭公寓  全新精装修小三房  满2年  拎包入住
北京,丰台,599,61405,2室2厅,97.55,21,2021-03-28,西向正规两居 交通便利 配套齐全 满五唯一
北京,朝阳,735,115767,2室1厅,63.49,6,2021-03-30,慧忠里两居室 满五年家庭名下唯一住宅
苏州,姑苏,51,21870,1室1厅,23.32,22,2021-03-11,楼层高  采光好 视野开阔  苏舒适度高
苏州,昆山,125,19158,2室1厅,65.25,18,2021-03-30,玫瑰湾 2室1厅 南
苏州,高新,278,19808,4室2厅,140.35,6,2021-01-23,湖畔翠庭，满五唯一，采光充足，带30平汽车库
苏州,姑苏,633.5,50551,3室2厅,125.32,25,2021-01-30,仁恒高品质 次顶楼 视野佳 满二
北京,昌平,420,44220,2室1厅,94.98,6,2021-03-29,【环境好小区】商品房   精装修   板楼二层
北京,丰台,329,69410,1室1厅,47.4,32,2021-03-27,gogo新世代  05年小区  双地铁  南向把边户
北京,海淀,599,110314,2室1厅,54.3,5,2021-03-30,明光村小区南北通透中间楼层两居室
成都,郫都,106.5,9245,3室1厅,115.2,11,2021-04-01,一里阳光简装大套三   满五年 采光好
苏州,工业园区,241,27061,2室2厅,89.06,18,2020-11-24,精装自住两房 小区前排 全天采光 省个税 诚意卖随时看
苏州,工业园区,249,57988,1室1厅,42.94,18,2021-03-23,景城学府 房东诚售 出门CBD，潜力之大 楼层好 采光好
苏州,工业园区,468,48463,3室1厅,96.57,28,2021-03-30,九龙仓精装三房 楼层好 视野佳 诚心出售
成都,高新西,240,15039,4室1厅,159.59,18,2021-03-10,对中庭+视野好+满五年+160平大套四
苏州,吴中,215,23526,2室2厅,91.39,17,2021-03-17,此房 户型方正 通透户型 适宜居住 小区环境安居
苏州,高新,195,21672,3室2厅,89.98,18,2021-01-08,195万精装三房满五唯一 另有车位可谈 诚心出售
苏州,昆山,239,17704,3室2厅,135,11,2021-03-29,花园社区＋管家式服务，江南明珠苑   三房二卫
苏州,工业园区,420,47853,2室2厅,87.77,13,2021-02-19,澳韵新上2+1新装好房 视野好 看房方便 实地看房优选
苏州,张家港,276,19695,4室2厅,140.14,21,2021-03-25,星河湾 4室2厅 南
北京,朝阳,1000,38397,6室2厅,260.44,41,2020-07-23,SOHO现代城平台层大复式业主诚意出售
苏州,工业园区,755,74312,2室2厅,101.6,25,2020-01-12,品质小区，高楼层采光充足 视野好 满五唯一 诚意出售
苏州,工业园区,288,32888,3室2厅,87.57,12,2020-05-17,天著一期科技住宅 边户 满二 税少
苏州,吴中,149,23558,2室2厅,63.25,5,2020-08-12,满二年 少税费 采光好 适宜居住 安静舒适  不靠马路
苏州,昆山,338,18032,5室2厅,187.45,6,2020-07-26,绿地21城C区 5室2厅 南 北
苏州,吴江,195,22649,3室2厅,86.1,32,2021-02-19,房子满五唯一，精装修，楼层好，南门口地铁口
苏州,高新,460,51530,3室1厅,89.27,18,2021-03-19,中梁香缇 3室1厅 南
苏州,姑苏,68,11747,2室1厅,57.89,20,2020-03-18,星光耀广场公寓房型和配套设施环境介绍
苏州,昆山,174,21607,2室1厅,80.53,22,2021-03-19,繁华里 2室1厅 南
北京,昌平,375,55196,2室1厅,67.94,6,2021-03-12,东辰小区 2室1厅 南 北
苏州,工业园区,600,68128,3室1厅,88.07,27,2020-11-27,全新装修未住人，满二年、星湾！随时看房品牌家具家电
苏州,相城,1200,37701,5室2厅,318.3,2,2021-03-30,出售低密度纯别墅小区，联排别墅精装修硬装，未入住
苏州,昆山,213,24913,3室2厅,85.5,33,2020-11-02,房东诚信出售 看房方便  有钥匙
北京,通州,233,38653,2室1厅,60.28,6,2021-03-26,南向小两居 户型方正 采光好 交通便利 配套齐全
苏州,高新,166.6,21256,2室2厅,78.38,11,2020-11-13,精装两室 满二唯一   经典户型
苏州,姑苏,173,21789,3室1厅,79.4,6,2020-12-09,金桥新村新上次顶楼满五唯一优质房源
苏州,姑苏,185,22905,2室1厅,80.77,16,2021-03-11,南山小两房e户 中高楼层采光好 精装修楼幢位置安静
苏州,昆山,229,16938,3室2厅,135.2,18,2021-03-15,琨城帝景园  高楼层 精装修  有车位
苏州,吴中,247,25378,3室2厅,97.33,17,2021-02-20,鑫苑湖居世家，尹山湖畔，精装小三房，全天采光
南京,溧水,44,4973,2室1厅,88.49,6,2021-01-06,颐园世家低总价2房，满二年，中间楼层，带一个储藏室
苏州,高新,170,18557,3室2厅,91.61,20,2021-03-07,禹洲嘉誉山经典三房，楼层好，业主诚售
苏州,吴江,205,22768,3室2厅,90.04,34,2021-03-21,万科碧桂园 3室2厅 南 北
苏州,昆山,171,21966,3室1厅,77.85,11,2020-12-06,樨桂园  前后花园 采光好  满五唯一  自住装修
苏州,姑苏,140,22691,2室1厅,61.7,6,2021-03-31,业主急售 里河新村两房朝南 位置好 采光好
北京,海淀,698,99008,2室1厅,70.5,17,2021-03-24,正规2居室，双南朝向，高楼层，满五年唯一住房
北京,丰台,700,88440,2室1厅,79.15,20,2021-03-23,保利百合 全南二居 满五年唯一住房 六里桥地铁站
上海,浦东,700,137742,2室1厅,50.82,6,2021-03-28,满五税费少，小区安静位置，中间楼层诚意出售
南京,浦口,332,29734,3室2厅,111.66,28,2021-03-12,中楼层采光好 小区环境好 交通便利
苏州,姑苏,118,24507,2室1厅,48.15,6,2021-03-28,推荐：满五年不唯一，明厨明卫户型方正，采光好！
苏州,高新,426,30418,3室2厅,140.05,18,2021-03-18,星韵花园二期大平层正气三房精装位置好未占用业主急售
苏州,工业园区,388,31545,3室2厅,123,9,2020-02-29,小高层 精装自住 诚意出售 看房有钥匙
苏州,高新,185,22561,3室2厅,82,16,2021-02-06,正荣悦岚山婚装三房中间楼层满两年可拎包入住
苏州,昆山,175,23027,2室1厅,76,18,2021-03-06,房子满五唯一，精装修，临河江景房
苏州,吴江,425,27944,4室2厅,152.09,6,2021-03-24,品质新希望锦麟府小区中叠 阳光充足 房东诚心出售
苏州,昆山,141.2,22571,2室2厅,62.56,30,2021-03-25,花桥裕花园精装两房，房东诚心出售
北京,朝阳,878,65911,3室1厅,133.21,28,2021-03-31,把边户型，中间楼层，名厨明卫，业主诚意出售
苏州,工业园区,685,50368,4室1厅,136,18,2019-09-10,七区新上小区中间位置中间楼层精装四房，业主诚意出售
上海,虹口,525,54586,2室2厅,96.18,5,2020-12-30,边套全明，双轨交通，龙之梦鲁迅公园配套，诚意出售
苏州,工业园区,125,26796,2室0厅,46.65,6,2020-12-17,自住全新装修 好楼层 好位置 大润发 满五年 看房方便
上海,杨浦,330,77338,1室1厅,42.67,7,2021-03-16,此房满五+格局方正采光无遮挡+视野开阔，交通便利
苏州,昆山,175,16356,3室2厅,107,26,2021-03-15,常发香城湾一期 3室2厅 南 西
苏州,高新,459,43715,3室2厅,105,6,2021-03-17,金龙花园 新装修三房 全明户型 看房方便 老客户诚售
北京,海淀,935,106432,2室2厅,87.85,18,2021-03-29,太月园，阳光南向2居，高楼层采光视野无遮挡，精装修
苏州,工业园区,516,41280,4室1厅,125,18,2021-01-31,此房满两年，房龄新，开发商统装带中Y空调
苏州,工业园区,167,26013,3室1厅,64.2,6,2021-01-17,工业园区，东环沿线，全明三房，好楼层，诚心出售
北京,房山,229,29025,2室1厅,78.9,6,2021-03-19,长龙苑小区 南北通透 满五唯一
北京,丰台,473,52093,2室1厅,90.8,18,2021-03-08,鸿业兴园二区，全明格局，户型方正，诚心出售
苏州,昆山,267,19884,4室2厅,134.28,28,2020-10-19,S1号线地铁口，嘉宝大四房，精装修只卖毛坯价！急售！
苏州,昆山,203,19507,3室2厅,104.07,5,2020-11-27,"小魏推荐：存量少，得房率90%,满五唯一、11号线花桥站"
苏州,工业园区,298,33665,1室2厅,88.52,30,2021-03-14,低总价，满二省税，精装保养好，诚意出售！
苏州,昆山,223,25621,3室1厅,87.04,18,2021-03-19,上海产权，满五年，房东置换诚心出售，看房方便
北京,大兴,401,47501,2室1厅,84.42,6,2021-03-01,兴海家园星苑 满五唯一 中间楼层 卫生间带窗户
成都,郫都,105,12139,2室1厅,86.5,25,2021-03-22,地铁口，交通便利，精装套二，拎包入住
北京,大兴,650,60948,3室2厅,106.65,9,2020-11-18,葛洲坝紫郡府南北通透三室两厅两卫人车分流2015年社区
苏州,姑苏,258,27615,3室2厅,93.43,21,2021-02-19,惠宇华庭3室2厅1厨1卫 南北通透 清水毛坯 采光好
上海,徐汇,599,72536,2室2厅,82.58,7,2021-02-19,西边套，23.4平大客厅，婚房装修，满五，非顶楼视野好
南京,浦口,152,17567,2室1厅,86.53,32,2020-08-11,房主诚售  采光无遮挡 设施配套齐全
苏州,相城,138,14791,2室1厅,93.3,17,2021-03-31,古宫新村 2室1厅 南
北京,朝阳,389,60041,1室1厅,64.79,14,2021-03-14,远洋一方润园2号院 1室1厅 南
北京,朝阳,948,63083,3室2厅,150.28,22,2020-12-26,双井  九龙花园  后排三居 看房提前联系
苏州,吴江,276,13170,5室2厅,209.57,18,2020-07-29,房子复式楼，全明户型5房2厅3卫带南北大露台
南京,浦口,65,16667,1室1厅,39,11,2021-04-01,江北新区盘龙山庄 地铁口 总价低 唯一朝南
北京,海淀,650,138889,1室1厅,46.8,17,2021-04-01,西三环北路76号院 1室1厅 南 北
南京,江宁,225,26115,2室2厅,86.16,5,2021-03-19,天元吉第三楼带入户  精装修拎包入住 满五唯一
北京,石景山,565,62452,2室1厅,90.47,24,2021-03-21,此房南向客厅带阳台，装修材料好，视野开阔，产权清晰
南京,栖霞,375,39612,2室2厅,94.67,11,2020-12-27,中间楼层 诚心出售 精装修拎包入住
北京,昌平,510,52556,2室1厅,97.04,20,2020-11-17,商品房满五唯一，南北通透，产权清晰，带电梯，落地窗
北京,海淀,950,79967,2室2厅,118.8,19,2021-03-27,万景公寓精装修大两居高楼层采光好
北京,大兴,259,41634,2室1厅,62.21,6,2021-03-21,兴政西里  低楼层   正规两居室
上海,宝山,315,42875,2室1厅,73.47,18,2021-02-22,#贝壳直选#优质好房 南北通两房 楼层佳 采光好
上海,徐汇,560,79041,2室1厅,70.85,18,2021-02-20,近地铁电梯房+正气双南户型+满五
苏州,相城,115,18564,2室1厅,61.95,10,2021-02-22,房子满两年，业主诚心出售，看房提前约一般都能看
北京,朝阳,1550,78430,3室2厅,197.63,26,2021-04-03,世茂奥临花园 3室2厅 南 北
南京,浦口,189,21446,2室2厅,88.13,11,2021-03-24,满两年，婚装，采光好，装修很新
北京,海淀,790,80728,2室1厅,97.86,19,2021-03-17,莱圳家园二期 南北通透两居室 满五年唯一
南京,建邺,435,28138,4室3厅,154.6,6,2021-03-23,复式 楼上有露台 采光好 不临街 视野好 位置好
苏州,昆山,46,9310,2室2厅,49.41,21,2021-03-10,港龙财智国际（昆山） 2室2厅 北
苏州,吴江,215,24432,3室2厅,88,34,2021-03-21,香溪源婚装三房  地铁口  户型正 中间楼层  有车位
南京,建邺,525,60659,3室1厅,86.55,33,2021-03-28,新空毛坯 双南三房  东边户 中楼层 采光好
上海,普陀,435,58689,3室1厅,74.12,6,2021-01-26,此房满五唯 一 税费少 业主诚意出售！
北京,海淀,395,78064,2室1厅,50.6,6,2021-03-14,前屯路57号院满五年唯一户型方正交通便利看房方便
北京,丰台,288,59090,2室1厅,48.74,6,2021-03-10,西罗园四区 满五年唯一 南北向 诚意出售 随时签约
上海,徐汇,443,105502,1室1厅,41.99,6,2021-03-15,精装修，配套设施齐全，交通便利
北京,丰台,360,60495,1室1厅,59.51,10,2021-03-21,三星庄园 1室1厅 南
南京,浦口,238,26581,3室2厅,89.54,26,2021-01-24,龙湖天街处 南京北站旁 3号线地铁 艾菲 满二年非顶楼
北京,昌平,368,50226,2室1厅,73.27,21,2020-12-05,合立方西向两居室，临近地铁，出行方便
北京,东城,475,99874,1室1厅,47.56,6,2021-03-13,东四块玉北街 1室1厅 南
北京,朝阳,322,75962,1室1厅,42.39,18,2020-09-02,东三环 正南朝向 次顶层 无遮挡 视野开阔 日照8小时
北京,昌平,419,41445,2室1厅,101.1,6,2021-01-04,龙禧苑风雅园三区不临街大两居，低楼层，明厨明卫
北京,朝阳,328,44687,2室1厅,73.4,28,2021-01-26,此房是满五年唯一，西南两居室，格局方正
北京,海淀,860,120957,3室1厅,71.1,10,2021-03-24,万泉庄王公坟  南北三居室  满五年唯一  低楼层
北京,海淀,829,127148,2室1厅,65.2,5,2021-03-18,西三环北路105号院，全南两居中间层，可谈，原始房主
北京,朝阳,725,90989,3室1厅,79.68,22,2021-03-13,光熙门北里 3室1厅 南
北京,通州,432,49372,2室1厅,87.5,27,2021-02-22,华业 精装修 满五唯一南北通透两居室
苏州,吴中,233,25089,3室2厅,92.87,34,2020-11-02,不靠高架，楼层好 采光好 视野宽阔
苏州,昆山,223,25393,3室2厅,87.82,32,2020-12-10,星汇兰亭房东自住房源家具家电齐全 满两年 南北通精装
北京,昌平,130,26827,2室1厅,48.46,5,2021-03-18,马池口红冶家属院中间楼层两居室
北京,海淀,585,130610,2室1厅,44.79,6,2021-03-21,翠微中里 两居室 楼层好 公主坟
南京,建邺,450,47449,2室2厅,94.84,18,2021-03-30,欧洲城凯旋丽都花园 2室2厅 南
北京,大兴,450,45204,2室2厅,99.55,11,2021-03-17,芳源里南北通透两居，电梯高层，满五年1%个人，诚心卖
北京,通州,438,44558,2室2厅,98.3,11,2021-01-11,天时名苑 不临街2居 精装修 高层 采光视野好
苏州,昆山,190,18701,3室2厅,101.6,18,2021-03-28,珠江御景花园 3室2厅 南
北京,大兴,205,31284,2室1厅,65.53,6,2021-03-12,福苑小区 满五年家庭就一套 通透格局 楼层好 视野宽阔
苏州,昆山,323,25440,4室2厅,126.97,26,2021-01-01,万达旁颐景园 精装大三房 品牌家具家电 带车位出售
上海,长宁,350,70836,1室1厅,49.41,6,2021-03-25,北新泾之光，新上好房，已满五年，拎包入住，看房随时
南京,浦口,153,16806,2室2厅,91.04,27,2020-07-17,楼层好， 看房方便，南北大两房
上海,松江,680,52462,3室2厅,129.62,11,2021-02-25,四开间朝南带入室花园，楼层位置好
南京,建邺,290,37396,3室1厅,77.55,7,2021-03-28,低总价三房，三开间朝南，面积没有浪费，小区今年翻新
南京,栖霞,650,45411,4室2厅,143.14,8,2021-02-22,精装修 拎包入住 中间楼层 采光好 花园洋房
北京,西城,2350,177950,3室1厅,132.06,19,2021-03-09,阳光丽景 满五年唯一 人车分流 南北通透 精装修
南京,浦口,220,21360,3室2厅,103,33,2021-03-03,馨园 精装小三房 楼层好装修好 诚意出售
南京,浦口,187,20106,2室1厅,93.01,26,2021-03-27,满五唯一，采光不遮挡，拎包即住，装修新
上海,奉贤,115,12716,3室2厅,90.44,4,2019-11-29,精装复式。看房方便。大房两厅。房东自住的
上海,普陀,1310,111083,2室2厅,117.93,30,2021-03-06,房子精装修 南北zhi透 ，满五年税少，面朝花园 苏河景
上海,浦东,910,70179,3室2厅,129.67,22,2021-02-18,已核验备案 精装修 满5年 南北错通 中间位置 安静
南京,秦淮,475,35947,3室2厅,132.14,26,2020-05-05,月牙湖带电梯 湖景房 满五唯一 采光好
南京,六合,99,16230,2室1厅,61,6,2021-03-30,杨庄西村 满五年 两房向南 看房方便随时 交通便利
南京,雨花台,175,25503,2室2厅,68.62,26,2020-08-14,金域华府  挑高户型  精装修  诚心出售
上海,闵行,318,75535,1室1厅,42.1,6,2021-02-22,徐汇户口，非顶楼边套一房，满五年，诚意出售可看房
南京,鼓楼,220,49240,2室1厅,44.68,7,2021-03-29,赤壁路和宁海，不占，一楼，两房总价低，精装拎包入住
南京,鼓楼,351,60875,2室1厅,57.66,7,2021-02-19,此房产权清晰 无纠纷 满五年 业主诚售 采光无遮挡
北京,通州,459,45076,2室2厅,101.83,7,2021-03-13,满五唯一 双通透 不临街不把边无遮挡 无抵押无户口
上海,浦东,465,64307,2室1厅,72.31,6,2021-01-03,杨思前滩CBD+品质小区+南北两房+地铁口+得房率高+急售
上海,松江,450,48639,2室2厅,92.52,14,2021-03-21,#安静的港湾俯瞰流动的河水#@你
上海,宝山,320,52701,2室1厅,60.72,6,2021-03-29,双南全明两房，满五，采光好，一梯两户，户型正气
南京,浦口,237,19491,3室1厅,121.6,11,2020-12-12,威尼斯水城 大三房 楼层好 位置好  满二
南京,建邺,426,39706,3室1厅,107.29,11,2021-01-03,户型端正，交通便利，不多的电梯房！
上海,宝山,515,49029,3室2厅,105.04,6,2021-01-27,小区中间位置，房型正气，满5年*，精装修拎包即住
南京,建邺,610,64674,3室1厅,94.32,32,2020-11-08,直面秦淮新河 户型方正 视野开阔 装修品质高 采光好
南京,秦淮,321,30181,3室2厅,106.36,7,2020-08-24,月牙湖畔  苜蓿园大街 双南一北东边户三房 采光好
上海,浦东,620,63253,2室1厅,98.02,11,2021-03-11,此房满五年，无个税，中间位置。视野好，业主诚意出售
南京,江宁,363,25795,3室2厅,140.73,11,2021-03-20,无个税 很少住保养好 跃层户型带电梯 客厅5.8米挑高
北京,东城,450,77187,2室1厅,58.3,21,2020-03-17,地铁电梯房，楼层好，双卧朝南采光好，小区配套成熟
成都,成华,130,16710,2室1厅,77.8,18,2021-03-11,新出公园小区套二，中间楼层视野开阔，采光好
上海,宝山,498,67471,2室1厅,73.81,6,2021-03-07,双南户型，中楼层，采光好，诚意出售，方便看房
南京,建邺,552,62170,2室2厅,88.79,18,2021-02-18,莱蒙水榭春天 2室2厅 南 北
北京,朝阳,1200,83917,3室2厅,143,18,2020-12-19,满五年唯一，厅高3.8米三居，产权清晰，方便看
南京,鼓楼,430,72330,2室1厅,59.45,28,2020-05-15,房龄新 带电梯 采光好 没有遮挡
北京,丰台,656,66769,3室1厅,98.25,9,2020-07-12,二环边南北通透三居室，2006年带电梯
成都,都江堰,64,6869,3室1厅,93.18,6,2021-03-31,震后教师公寓 步梯3楼 住家装修拎包入住
南京,秦淮,200,29253,2室1厅,68.37,6,2021-03-23,汇景家园汇美苑 两室一厅 中间楼层 南北通透
北京,石景山,280,45293,2室1厅,61.82,11,2021-03-25,古城南路 1994年楼龄 钢混结构 带电梯
南京,鼓楼,490,69573,2室1厅,70.43,7,2021-03-07,宁夏路18号 马鞍山2号 舒适两房 房龄新 采光佳
南京,浦口,237,20679,3室1厅,114.61,11,2021-04-02,诚心出售 满五年无个税 采光好 交通便利 大阳台
南京,鼓楼,103,26143,1室1厅,39.4,19,2021-03-14,龙江4号线地铁口，总价低，刚需，业主自住精装
北京,朝阳,312,44338,2室1厅,70.37,29,2021-01-13,首开畅心园 东向两居 高楼层 无遮挡 视野好
北京,朝阳,708,97777,2室1厅,72.41,20,2021-03-05,西南朝向 无遮挡 不临街 户型方正
上海,浦东,780,65896,3室2厅,118.37,21,2021-01-29,绿地景汇 小上海 万达 16号线 18号线  三房
苏州,姑苏,140,23334,2室1厅,60,5,2021-03-21,相门后庄6号 2室1厅 南
苏州,昆山,355,30604,3室2厅,116,34,2020-05-11,金鹰商圈 景观楼层 清水毛坯大三房
成都,成华,97,16855,2室2厅,57.55,18,2021-01-02,蓝光品质楼盘  刚需小套二     简单装修
南京,鼓楼,280,70405,1室1厅,39.77,7,2021-03-23,银城花园北片 1室1厅 南
上海,浦东,372,44344,3室2厅,83.89,6,2021-01-10,海洲二期+自带地下储藏室+满五+1无个税 +商品房
南京,江宁,298,26777,3室1厅,111.29,16,2021-02-28,百家湖西花园伦敦城 3室1厅 南
苏州,工业园区,685,57564,3室2厅,119,9,2021-02-19,七里洋房 精装修 大三房 位置好 全天采光
南京,江宁,350,29297,4室2厅,119.47,18,2021-03-04,满五不唯一 中间楼层 视野无遮挡 采光好
南京,浦口,255,21915,3室2厅,116.36,18,2021-02-27,此房满二，中高楼层采光好，居家精装修，看房方便
北京,石景山,358,47893,2室1厅,74.75,16,2021-01-11,2021年4月1号满五年 业主家庭唯一住房 精装修
上海,徐汇,335,68270,1室1厅,49.07,6,2021-03-26,采光充足，交通便利，配套齐全，满五年
北京,海淀,392,71927,2室1厅,54.5,6,2021-03-13,清河四拨子北京丝绸总厂宿舍（安宁庄东路6号院）
南京,江宁,259,28506,3室1厅,90.86,18,2021-02-27,价格含车位 满五年 精装修 采光无遮挡
上海,奉贤,100,20455,2室1厅,48.89,5,2020-09-30,地铁五号线，独门独户，采光好精装，带一个电瓶车库
南京,江宁,279,32259,2室1厅,86.49,18,2021-03-08,楼层好 视野开阔 满两年 精装修 采光棒棒棒
南京,江宁,255,20239,3室2厅,126,7,2021-03-29,天景山公寓春秀苑 3室2厅 南 北
南京,鼓楼,300,41346,2室1厅,72.56,7,2021-02-23,凤凰西街   双南全明户型   低楼层  小区安静
南京,鼓楼,169.8,33295,2室1厅,51,7,2021-02-05,定淮门 精装两房 户型方正 中间楼层 业主诚心出售
苏州,吴中,198,20731,3室2厅,95.51,30,2021-03-17,此房高楼层，清水毛坯任意装修，采光视野好
成都,温江,125,14142,3室2厅,88.39,6,2020-10-28,苏州园林式小区 套三 精装修 户型方正
成都,武侯,55.9,9663,1室0厅,57.85,7,2021-03-31,武侯区  精装一居室  拎包入住
上海,浦东,310,41066,2室1厅,75.49,14,2021-02-04,18号线旁，近地铁，业主诚心出售
上海,松江,510,34528,3室2厅,147.71,6,2021-03-21,精装修，灵宝入住，采光好，交通便利，出行方便
南京,六合,85.5,19000,1室1厅,45,6,2021-04-02,芳庭潘园 单室套出售 ，楼层好，户型正
南京,建邺,248,27769,3室2厅,89.31,34,2020-09-07,莲花嘉园 生活便利 有钥匙 看房方便 精装修带暖气
成都,郫都,105,11412,3室2厅,92.01,25,2021-03-31,塞纳国际精装套三双卫，诚心出售
北京,大兴,369,41686,2室2厅,88.52,16,2021-02-01,南北通透电梯两居室 靠谱签约 可满五年唯一过户
南京,浦口,205,19712,3室2厅,104,11,2020-05-21,满五年 三房 有钥匙随时看 业主诚心卖
苏州,昆山,185,20442,3室2厅,90.5,30,2021-03-28,花桥裕花园 3房2厅1厨1卫 满二 毛坯 出售
上海,奉贤,275,31977,3室2厅,86,18,2021-03-09,金汇新城，龙湖天街旁，朗诗电梯3房，精装修
南京,浦口,192,21139,2室2厅,90.83,11,2021-03-31,威尼斯水城第十五街区精装修B户型两房看房随时
上海,浦东,380,64440,2室1厅,58.97,6,2021-02-23,满五年wei一，中间楼层，位置好无遮挡，精装修小两房
南京,秦淮,224,36830,2室1厅,60.82,7,2021-02-23,南部新城优质板块，采光充足，价格低
上海,虹口,169,51969,1室0厅,32.52,6,2021-03-07,房子满五+采光好+格局好+厨房卫生间有窗
成都,金牛,112,12680,2室2厅,88.33,18,2020-09-07,标准套二 朝南 对中庭 户型方正 简单装修 有地铁
北京,朝阳,323,48109,2室1厅,67.14,7,2019-06-15,满五年 家庭名下唯一住房 南北通透 中间层
北京,朝阳,370,54840,1室1厅,67.47,11,2021-03-26,板楼南向一居室，中高楼层，采光好，靠谱卖
南京,浦口,183,19388,2室2厅,94.39,11,2021-02-20,威尼斯一街区 近地铁 采光好 总价低 看房方便
上海,杨浦,235,67724,1室1厅,34.7,6,2021-03-12,《中间楼层》《边套全明》《满五V1》《8号线》
南京,雨花台,165,21095,2室1厅,78.22,11,2021-03-20,岱山新城 祥和园 满五满二 得房率高 采光无遮挡
成都,青羊,254,38987,3室1厅,65.15,4,2021-03-25,考验眼光的一套房子，您是慧眼识珠的人吗？
南京,浦口,314,35833,3室2厅,87.63,34,2020-11-20,江北新区保利西江月精装房 业主诚售 看房方便
成都,温江,146,14577,3室2厅,100.16,29,2021-03-27,精装套三房东诚心出售，欢迎大家带看随时陪看
苏州,高新,410,29962,4室1厅,136.84,6,2021-01-27,满五年唯一税少，精装自住，非顶楼，有车库，诚心出售
上海,浦东,488,62758,3室2厅,77.76,6,2021-03-14,前滩三林+南北通+免个税+双南三房+视野宽阔+精装修
南京,雨花台,415,42886,3室2厅,96.77,27,2021-03-01,低总价小三房  业主诚心卖 楼层好 户型好
成都,新都,95,10134,3室2厅,93.75,33,2020-03-24,装修套三，带家私，户型方正，低楼层，看房方便
北京,丰台,920,66345,3室2厅,138.67,24,2021-03-07,万年花城视野好，采光好，不临街 的大三居！
南京,建邺,190,32941,2室1厅,57.68,7,2021-02-01,居家装修 两居室 要求不高可拎包住 满五年
